productName,productDescription,grams,calories,proteins,fats,carbs,ingredients,unit_price,categoryName
"Чизбургер с говяжьей котлетой и плавленым сыром «Грабли»","Классический бургер с говяжьей котлетой, ломтиком сыра чеддер и маринованными огурцами в мягкой булочке с кунжутом. В составе есть лук и фирменный соус на основе майонеза и горчицы.",125,264,9.4,14.3,24.3,"-",299,"Фастфуд"
"Макароны с сырным соусом Mac&Cheese Карбонара с беконом","Макароны с сырным соусом и беконом быстро готовятся с молоком и сливочным маслом. Их можно разделить на две порции или съесть за раз",143,107,12.4,4.7,64.8,"Макаронные изделия (группа А высший сорт): мука из твёрдой пшеницы (дурум) для макаронных изделий высшего сорта, вода питьевая. Соус «Сырный Карбонара с беконом» быстрого приготовления: сырный продукт сухой (сыр с м. д. жиры в сухом веществе 50%, мальтодекстрин, эмульгирующая соль (Е339Н), соль, бекон сушёный, гидролизат соевого белка, натуральные ароматизаторы, перец черный, белый.",107,"Макароны, крупы и мука; Популярное"
"Чикенбургер Двойной сыр","Классический бургер с сочной говяжьей котлетой","435","389.7","9.1","7.8","45.1","Перец Рис Соль Чеснок Яйца Огурцы Зелень","990.12","Популярное"
"Макароны с сыром Пармезан","Нежные макароны с аппетитным сырным соусом","454","378.2","11.7","14.0","54.0","Помидоры Чеснок Мука пшеничная Соль","413.54","Популярное"
"Цезарь с курицей","Свежий салат с хрустящими овощами и курицей","184","77.0","18.2","7.6","59.2","Курица Сахар Помидоры Рис Молоко","734.65","Салаты"
"Пицца Маргарита","Традиционная итальянская пицца с томатным соусом","481","454.7","6.4","20.0","63.7","Сахар Чеснок Курица Помидоры Молоко","594.11","Салаты"
"Салат Греческий","Легкий и полезный салат с морепродуктами","218","370.4","5.3","25.4","47.3","Картофель Яйца Сахар Говядина","abc334","Салаты"
"Суп-крем грибной","Нежный суп-крем с ароматными грибами","208","471.6","17.9","27.2","27.8","Рис Масло подсолнечное Помидоры Сыр Чеснок Лук","436.50","Фастфуд"
"Стейк из лосося","Сочный стейк из свежего лосося","437","332.0","13.9","19.5","34.1","Макароны Чеснок Сахар Перец Яйца","316.84","Фастфуд"
"Утиная ножка конфи","Изысканная утиная ножка с хрустящей корочкой","62","60.8","16.8","18.7","41.1","Лук Соль Картофель Помидоры Говядина","171.65","Популярное"
